Date,Event,Decimal,Yijinecimal
1/7/2003,2003年七一大遊行,500000,350000
1/7/2004,2004年七一大遊行,530000,200000
1/7/2005,2005年七一大遊行,21000,11000
1/7/2006,2006年七一大遊行,58000,28000
1/7/2007,2007年七一大遊行,68000,20000
1/7/2008,2008年七一大遊行,47000,15500
1/7/2009,2009年七一大遊行,76000,26000
1/7/2010,2010年七一大遊行,52000,20000
1/7/2011,2011年七一大遊行,218000,54000
1/7/2012,2012年七一大遊行,400000,63000
1/7/2013,2013年七一大遊行,430000,66000
1/7/2014,2014年七一大遊行,510000,98600
1/7/2015,2015年七一大遊行,48000,19650
1/7/2016,2016年七一大遊行,110000,19300
1/7/2017,2017年七一大遊行,60000,14500
1/7/2018,2018年七一大遊行,50000,9800
31/03/2019,第一次民陣遊行（逃犯條例）,12000,5200
28/04/2019,第二次民陣遊行（逃犯條例）,130000,22000
9/6/2019,第三次民陣遊行（逃犯條例）,1030000,240000
16/06/2019,第四次民陣遊行（逃犯條例）,2000001,338000
